ca_culture_afroanglo_1;Light Infantry Workshop;;;;;;;;;;x
ca_culture_afroanglo_1_desc;Here is where the powerful Afroanglo light infantry are taught to fight against the enemy;;;;;;;;;;x
ca_culture_afroanglo_2;Light Infantry Camp;;;;;;;;;;x
ca_culture_afroanglo_2_desc;Here is where the powerful Afroanglo light infantry are taught to fight against the enemy;;;;;;;;;;x
ca_culture_afroanglo_3;Light Infantry Training Grounds;;;;;;;;;;x
ca_culture_afroanglo_3_desc;Here is where the powerful Afroanglo light infantry are taught to fight against the enemy;;;;;;;;;;x
ca_culture_afroanglo_4;Light Infantry Barracks;;;;;;;;;;x
ca_culture_afroanglo_4_desc;Here is where the powerful Afroanglo light infantry are taught to fight against the enemy;;;;;;;;;;x
ca_culture_americano_1;Heavy Infantry Workshop;;;;;;;;;;x
ca_culture_americano_1_desc;Here is where the Americano heavy infantry are recruited and supplied;;;;;;;;;;x
ca_culture_americano_2;Heavy Infantry Camp;;;;;;;;;;x
ca_culture_americano_2_desc;Here is where the strongest and bravest of the Americano heavy infantry train.;;;;;;;;;;x
ca_culture_americano_3;Heavy Infantry Training Grounds;;;;;;;;;;x
ca_culture_americano_3_desc;Here is where the Americano heavy infantry are recruited and supplied;;;;;;;;;;x
ca_culture_americano_4;Heavy Infantry Barracks;;;;;;;;;;x
ca_culture_americano_4_desc;Here is where the powerful Americano heavy infantry are taught to fight against the enemy;;;;;;;;;;x
ca_culture_beacher_1;Archers Workshop;;;;;;;;;;x
ca_culture_beacher_1_desc;Here is where the strongest and bravest of the Beacher archers train.;;;;;;;;;;x
ca_culture_beacher_2;Archers Camp;;;;;;;;;;x
ca_culture_beacher_2_desc;Here is where the powerful Beacher archers are taught to fight against the enemy;;;;;;;;;;x
ca_culture_beacher_3;Archers Training Grounds;;;;;;;;;;x
ca_culture_beacher_3_desc;Here is where the Beacher archers are recruited and supplied;;;;;;;;;;x
ca_culture_beacher_4;Archers Barracks;;;;;;;;;;x
ca_culture_beacher_4_desc;Here is where the powerful Beacher archers are taught to fight against the enemy;;;;;;;;;;x
ca_culture_biloxi_1;Light Cavalry Workshop;;;;;;;;;;x
ca_culture_biloxi_1_desc;Here is where the powerful Biloxi light cavalry are taught to fight against the enemy;;;;;;;;;;x
ca_culture_biloxi_2;Light Cavalry Camp;;;;;;;;;;x
ca_culture_biloxi_2_desc;Here is where the powerful Biloxi light cavalry are taught to fight against the enemy;;;;;;;;;;x
ca_culture_biloxi_3;Light Cavalry Training Grounds;;;;;;;;;;x
ca_culture_biloxi_3_desc;Here is where the Biloxi light cavalry are recruited and supplied;;;;;;;;;;x
ca_culture_biloxi_4;Light Cavalry Barracks;;;;;;;;;;x
ca_culture_biloxi_4_desc;Here is where the powerful Biloxi light cavalry are taught to fight against the enemy;;;;;;;;;;x
ca_culture_calusa_1;Light Cavalry Workshop;;;;;;;;;;x
ca_culture_calusa_1_desc;Here is where the powerful Calusa light cavalry are taught to fight against the enemy;;;;;;;;;;x
ca_culture_calusa_2;Light Cavalry Camp;;;;;;;;;;x
ca_culture_calusa_2_desc;Here is where the strongest and bravest of the Calusa light cavalry train.;;;;;;;;;;x
ca_culture_calusa_3;Light Cavalry Training Grounds;;;;;;;;;;x
ca_culture_calusa_3_desc;Here is where the powerful Calusa light cavalry are taught to fight against the enemy;;;;;;;;;;x
ca_culture_calusa_4;Light Cavalry Barracks;;;;;;;;;;x
ca_culture_calusa_4_desc;The mexian light cavalry are legendary for their brave fights against their neigbors.;;;;;;;;;;x
ca_culture_cancuni_1;Archers Workshop;;;;;;;;;;x
ca_culture_cancuni_1_desc;Here is where the strongest and bravest of the Cancuni archers train.;;;;;;;;;;x
ca_culture_cancuni_2;Archers Camp;;;;;;;;;;x
ca_culture_cancuni_2_desc;Here is where the powerful Cancuni archers are taught to fight against the enemy;;;;;;;;;;x
ca_culture_cancuni_3;Archers Training Grounds;;;;;;;;;;x
ca_culture_cancuni_3_desc;Here is where the Cancuni archers are recruited and supplied;;;;;;;;;;x
ca_culture_cancuni_4;Archers Barracks;;;;;;;;;;x
ca_culture_cancuni_4_desc;Here is where the strongest and bravest of the Cancuni archers train.;;;;;;;;;;x
ca_culture_carahatani_1;Light Infantry Workshop;;;;;;;;;;x
ca_culture_carahatani_1_desc;Here is where the Carahatani light infantry are recruited and supplied;;;;;;;;;;x
ca_culture_carahatani_2;Light Infantry Camp;;;;;;;;;;x
ca_culture_carahatani_2_desc;The mexian light infantry are legendary for their brave fights against their neigbors.;;;;;;;;;;x
ca_culture_carahatani_3;Light Infantry Training Grounds;;;;;;;;;;x
ca_culture_carahatani_3_desc;Here is where the Carahatani light infantry are recruited and supplied;;;;;;;;;;x
